ID Sex Gen SireID MumID Status Died Cohort Arrived
ID_1 1 66 NA NA d 1987 1985 1985
ID_2 2 66 NA NA d 1987 1985 1985
ID_3 1 66 NA NA d 1987 1985 1985
ID_4 1 66 NA NA d 1987 1985 1985
ID_5 2 66 NA NA d 1989 1985 1985
ID_6 2 66 NA NA d 1987 1985 1985
ID_7 2 66 NA NA d 1987 1985 1985
ID_8 2 66 NA NA d 1986 1985 1985
ID_9 1 66 NA NA d 1985 1985 1985
ID_10 2 66 NA NA d 1987 1985 1985
ID_11 2 66 NA NA d 1987 1985 1985
ID_12 2 66 NA NA d 1987 1985 1985
ID_13 2 66 NA NA d 1987 1985 1985
ID_14 2 66 NA NA d 1985 1985 1985
ID_15 1 66 NA NA d 1990 1985 1985
ID_16 1 66 NA NA d 1986 1985 1985
ID_17 1 66 NA NA d 1987 1985 1985
ID_18 1 66 NA NA d 1987 1985 1985
ID_19 2 66 NA NA d 1987 1985 1985
ID_20 1 66 NA NA d 1987 1985 1985
ID_21 1 66 NA NA d 1989 1985 1985
ID_22 1 66 NA NA d 1990 1985 1985
ID_23 1 66 NA NA d 1987 1985 1985
ID_24 2 66 NA NA d 1985 1985 1985
ID_25 2 66 NA NA d 1987 1985 1985
ID_26 2 66 NA NA d 1988 1985 1985
ID_27 2 66 NA NA d 1987 1985 1985
ID_28 2 66 NA NA d 1987 1985 1985
ID_29 1 66 NA NA d 1987 1985 1985
ID_30 1 66 NA NA d 1987 1985 1985
ID_31 2 66 NA NA d 1986 1985 1985
ID_32 1 66 NA NA d 1988 1985 1985
ID_33 1 66 NA NA d 1986 1985 1985
ID_34 2 66 NA NA d 1987 1985 1985
ID_35 2 66 NA NA d 1987 1985 1985
ID_36 1 66 NA NA d 1985 1985 1985
ID_37 1 66 NA NA d 1987 1985 1985
ID_38 2 66 NA NA d 1987 1985 1985
ID_39 2 66 NA NA d 1987 1985 1985
ID_40 2 66 NA NA d 1987 1985 1985
ID_41 2 66 NA NA d 1987 1985 1985
ID_42 2 66 NA NA d 1987 1985 1985
ID_43 2 66 NA NA d 1985 1985 1985
ID_44 1 66 NA NA d 1987 1985 1985
ID_45 1 66 NA NA d 1985 1985 1985
ID_46 2 66 NA NA d 1987 1985 1985
ID_47 1 66 NA NA d 1985 1985 1985
ID_48 1 66 NA NA d 1985 1985 1985
ID_49 2 66 NA NA d 1987 1985 1985
ID_50 1 66 NA NA d 1992 1985 1985
ID_51 2 66 NA NA d 1985 1985 1985
ID_52 2 66 NA NA d 1987 1985 1985
ID_53 2 66 NA NA d 1986 1985 1985
ID_54 1 66 NA NA d 1987 1985 1985
ID_55 1 66 NA NA d 1985 1985 1985
ID_56 1 66 NA NA d 1991 1985 1985
ID_57 1 66 NA NA d 1993 1985 1985
ID_58 2 66 NA NA d 1988 1985 1985
ID_59 2 66 NA NA d 1985 1985 1985
ID_60 1 66 NA NA d 1996 1985 1985
ID_61 2 66 NA NA d 1988 1985 1985
ID_62 2 66 NA NA d 1987 1985 1985
ID_63 2 66 NA NA d 1987 1985 1985
ID_64 2 66 NA NA d 1987 1985 1985
ID_65 1 66 NA NA d 1987 1985 1985
ID_66 1 66 NA NA d 1993 1985 1985
ID_67 1 66 NA NA d 1988 1985 1985
ID_68 2 66 NA NA d 1987 1985 1985
ID_69 2 66 NA NA d 1985 1985 1985
ID_70 2 66 NA NA d 1986 1985 1985
ID_71 1 66 NA NA d 1985 1985 1985
ID_72 1 66 NA NA d 1985 1985 1985
ID_73 2 66 NA NA d 1987 1985 1985
ID_74 1 66 NA NA d 1987 1985 1985
ID_75 1 66 NA NA d 1995 1985 1985
ID_76 2 66 NA NA d 1986 1985 1985
ID_77 2 66 NA NA d 1989 1985 1985
ID_78 1 66 NA NA d 1987 1985 1985
ID_79 2 66 NA NA d 1986 1985 1985
ID_80 2 66 NA NA d 1985 1985 1985
ID_81 1 66 NA NA d 1985 1985 1985
ID_82 2 66 NA NA d 1987 1985 1985
ID_83 1 66 NA NA d 1994 1985 1985
ID_84 2 66 NA NA d 1986 1985 1985
ID_85 2 66 NA NA d 1988 1985 1985
ID_86 2 66 NA NA d 1987 1985 1985
ID_87 2 66 NA NA d 1987 1985 1985
ID_88 2 66 NA NA d 1987 1985 1985
ID_89 1 66 NA NA d 1986 1985 1985
ID_90 1 66 NA NA d 1985 1985 1985
ID_91 1 66 NA NA d 1985 1985 1985
ID_92 1 66 NA NA d 1986 1985 1985
ID_93 2 66 NA NA d 1985 1985 1985
ID_94 1 66 NA NA d 1987 1985 1985
ID_95 1 66 NA NA d 1992 1985 1985
